,icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid,times,labels
4560,,,,220316_063607_001_j01,,,65.17,-31.65,0,green,220316_063607_001_j01,2022-03-16 06:36:00,20220316
4561,,,,220316_063608_002_j01,,,66.03,-33.75,14,green,220316_063608_002_j01,2022-03-16 06:36:00,20220316
4562,,,,220316_063608_003_j01,,,66.71,-35.61,1408,yellow,220316_063608_003_j01,2022-03-16 06:36:00,20220316
4563,,,,220316_063608_004_j01,,,67.29,-37.3,2694,yellow,220316_063608_004_j01,2022-03-16 06:36:00,20220316
4564,,,,220316_063608_005_j01,,,67.77,-38.85,2826,green,220316_063608_005_j01,2022-03-16 06:36:00,20220316
4565,,,,220316_063608_006_j01,,,68.19,-40.31,2913,yellow,220316_063608_006_j01,2022-03-16 06:36:00,20220316
4566,,,,220316_063609_007_j01,,,68.56,-41.67,2825,yellow,220316_063609_007_j01,2022-03-16 06:36:00,20220316
4567,,,,220316_063609_008_j01,,,68.9,-42.97,2633,green,220316_063609_008_j01,2022-03-16 06:36:00,20220316
4568,,,,220316_063609_009_j01,,,69.2,-44.23,2469,green,220316_063609_009_j01,2022-03-16 06:36:00,20220316
4569,,,,220316_063609_010_j01,,,69.47,-45.45,2305,green,220316_063609_010_j01,2022-03-16 06:36:00,20220316
4570,,,,220316_063609_011_j01,,,69.72,-46.64,2081,green,220316_063609_011_j01,2022-03-16 06:36:00,20220316
4571,,,,220316_063610_012_j01,,,69.96,-47.81,1732,yellow,220316_063610_012_j01,2022-03-16 06:36:00,20220316
4572,,,,220316_063610_013_j01,,,70.18,-48.97,1131,green,220316_063610_013_j01,2022-03-16 06:36:00,20220316
4573,,,,220316_063610_014_j01,,,70.38,-50.14,674,green,220316_063610_014_j01,2022-03-16 06:36:00,20220316
4574,,,,220316_063610_015_j01,,,70.58,-51.31,221,green,220316_063610_015_j01,2022-03-16 06:36:00,20220316
4575,,,,220316_063610_016_j01,,,70.77,-52.5,413,yellow,220316_063610_016_j01,2022-03-16 06:36:00,20220316
4576,,,,220316_063611_017_j01,,,70.95,-53.73,117,yellow,220316_063611_017_j01,2022-03-16 06:36:00,20220316
4577,,,,220316_063611_018_j01,,,71.13,-54.98,0,yellow,220316_063611_018_j01,2022-03-16 06:36:00,20220316
4578,,,,220316_063611_019_j01,,,71.3,-56.29,0,yellow,220316_063611_019_j01,2022-03-16 06:36:00,20220316
4579,,,,220316_063611_020_j01,,,71.47,-57.66,0,yellow,220316_063611_020_j01,2022-03-16 06:36:00,20220316
4580,,,,220316_063611_021_j01,,,71.63,-59.11,0,yellow,220316_063611_021_j01,2022-03-16 06:36:00,20220316
4581,,,,220316_063612_022_j01,,,71.79,-60.65,0,green,220316_063612_022_j01,2022-03-16 06:36:00,20220316
4582,,,,220316_063612_023_j01,,,71.95,-62.32,0,yellow,220316_063612_023_j01,2022-03-16 06:36:00,20220316
4583,,,,220316_063612_024_j01,,,72.1,-64.13,0,green,220316_063612_024_j01,2022-03-16 06:36:00,20220316
4584,,,,220316_063612_025_j01,,,72.25,-66.12,0,green,220316_063612_025_j01,2022-03-16 06:36:00,20220316
4585,,,,220316_063612_026_j01,,,72.39,-68.35,0,yellow,220316_063612_026_j01,2022-03-16 06:36:00,20220316
4586,,,,220316_063613_027_j01,,,72.52,-70.88,0,yellow,220316_063613_027_j01,2022-03-16 06:36:00,20220316
4587,,,,220316_063613_028_j01,,,72.62,-73.79,0,green,220316_063613_028_j01,2022-03-16 06:36:00,20220316
4588,,,,220316_063613_029_j01,,,72.69,-77.21,351,yellow,220316_063613_029_j01,2022-03-16 06:36:00,20220316
4589,,,,220316_063613_030_j01,,,72.71,-81.35,330,green,220316_063613_030_j01,2022-03-16 06:36:00,20220316
4590,,,,220316_063615_031_j01,,,64.84,-32.47,0,yellow,220316_063615_031_j01,2022-03-16 06:36:00,20220316
4591,,,,220316_063616_032_j01,,,65.69,-34.57,0,green,220316_063616_032_j01,2022-03-16 06:36:00,20220316
4592,,,,220316_063616_033_j01,,,66.37,-36.43,985,green,220316_063616_033_j01,2022-03-16 06:36:00,20220316
4593,,,,220316_063616_034_j01,,,66.93,-38.12,2099,green,220316_063616_034_j01,2022-03-16 06:36:00,20220316
4594,,,,220316_063616_035_j01,,,67.41,-39.66,2494,green,220316_063616_035_j01,2022-03-16 06:36:00,20220316
4595,,,,220316_063616_036_j01,,,67.82,-41.11,2760,yellow,220316_063616_036_j01,2022-03-16 06:36:00,20220316
4596,,,,220316_063617_037_j01,,,68.19,-42.46,2703,yellow,220316_063617_037_j01,2022-03-16 06:36:00,20220316
4597,,,,220316_063617_038_j01,,,68.51,-43.76,2533,yellow,220316_063617_038_j01,2022-03-16 06:36:00,20220316
4598,,,,220316_063617_039_j01,,,68.81,-45.0,2368,yellow,220316_063617_039_j01,2022-03-16 06:36:00,20220316
4599,,,,220316_063617_040_j01,,,69.07,-46.2,2088,yellow,220316_063617_040_j01,2022-03-16 06:36:00,20220316
4600,,,,220316_063617_041_j01,,,69.32,-47.38,1732,yellow,220316_063617_041_j01,2022-03-16 06:36:00,20220316
4601,,,,220316_063618_042_j01,,,69.55,-48.54,1410,yellow,220316_063618_042_j01,2022-03-16 06:36:00,20220316
4602,,,,220316_063618_043_j01,,,69.77,-49.69,761,yellow,220316_063618_043_j01,2022-03-16 06:36:00,20220316
