,icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid,times,labels
13680,,,,220717_062623_001_j01,,,71.28,-1.5,0,yellow,220717_062623_001_j01,2022-07-17 06:26:00,20220717
13681,,,,220717_062624_002_j01,,,72.45,-2.67,0,yellow,220717_062624_002_j01,2022-07-17 06:26:00,20220717
13682,,,,220717_062624_003_j01,,,73.41,-3.77,0,yellow,220717_062624_003_j01,2022-07-17 06:26:00,20220717
13683,,,,220717_062624_004_j01,,,74.24,-4.82,0,yellow,220717_062624_004_j01,2022-07-17 06:26:00,20220717
13684,,,,220717_062624_005_j01,,,74.95,-5.84,0,yellow,220717_062624_005_j01,2022-07-17 06:26:00,20220717
13685,,,,220717_062624_006_j01,,,75.59,-6.85,0,yellow,220717_062624_006_j01,2022-07-17 06:26:00,20220717
13686,,,,220717_062625_007_j01,,,76.17,-7.84,0,yellow,220717_062625_007_j01,2022-07-17 06:26:00,20220717
13687,,,,220717_062625_008_j01,,,76.7,-8.84,0,yellow,220717_062625_008_j01,2022-07-17 06:26:00,20220717
13688,,,,220717_062625_009_j01,,,77.19,-9.85,0,yellow,220717_062625_009_j01,2022-07-17 06:26:00,20220717
13689,,,,220717_062625_010_j01,,,77.64,-10.88,0,yellow,220717_062625_010_j01,2022-07-17 06:26:00,20220717
13690,,,,220717_062625_011_j01,,,78.08,-11.94,0,yellow,220717_062625_011_j01,2022-07-17 06:26:00,20220717
13691,,,,220717_062626_012_j01,,,78.49,-13.03,0,yellow,220717_062626_012_j01,2022-07-17 06:26:00,20220717
13692,,,,220717_062626_013_j01,,,78.88,-14.16,0,yellow,220717_062626_013_j01,2022-07-17 06:26:00,20220717
13693,,,,220717_062626_014_j01,,,79.27,-15.36,0,yellow,220717_062626_014_j01,2022-07-17 06:26:00,20220717
13694,,,,220717_062626_015_j01,,,79.64,-16.63,1,yellow,220717_062626_015_j01,2022-07-17 06:26:00,20220717
13695,,,,220717_062626_016_j01,,,80.01,-17.98,111,yellow,220717_062626_016_j01,2022-07-17 06:26:00,20220717
13696,,,,220717_062627_017_j01,,,80.37,-19.44,560,green,220717_062627_017_j01,2022-07-17 06:26:00,20220717
